id	label	x	y	cluster	weight<No. of pubs>	weight<No. of cits>
1135	Journal of Solution Chemistry	1.2424	0.2124	4	3838	9517
1136	Zeitschrift für Physik B Condensed Matter	1.693	-0.1654	7	3835	34377
1137	Clinical Anatomy	-0.4166	0.4855	2	3829	10142
1139	Lecture Notes in Business Information Processing	-0.481	-0.6953	1	3827	1556
1140	Spinal Cord	-0.4556	0.3399	2	3823	19481
1141	International Journal of Mathematical Education in Science and Technology	-0.6979	-0.5364	1	3816	4113
1142	Nature Reviews Molecular Cell Biology	0.0337	0.7998	6	3813	147362
1144	Science Translational Medicine	-0.1904	0.6869	2	3806	38752
1145	Journal of Anesthesia	-0.388	0.4471	2	3805	4062
1147	Revista da Sociedade Brasileira de Medicina Tropical	0.0519	0.4736	3	3797	12855
1148	Journal of Perinatology	-0.3774	0.4206	2	3794	16443
1149	Journal of Geophysical Research Space Physics	1.2615	-0.5297	7	3793	15168
1150	Journal of the American Psychoanalytic Association	-0.6756	-0.367	1	3792	10534
1151	RNA	0.21	0.8243	6	3784	46446
1152	BMJ Quality & Safety	-0.5722	-0.1668	1	3783	24394
1153	Mathematical Proceedings of the Cambridge Philosophical Society	0.6715	-0.6079	5	3780	7647
1154	International Journal of Modern Physics D	1.5292	-0.6846	7	3779	18065
1155	Toxicologic Pathology	-0.0551	0.5294	2	3774	20444
1156	Ethology	0.5183	0.2659	3	3773	17569
1157	Pharmacoepidemiology and Drug Safety	-0.3594	0.378	2	3772	18258
1158	Mammalian Genome	0.2273	0.5546	3	3771	18716
1159	Oryx	0.5247	0.2436	3	3770	9347
1160	Modern Rheumatology	-0.4055	0.6058	2	3769	7414
1161	Toxicological and Environmental Chemistry	0.6237	0.304	3	3768	5189
1163	The New Palgrave Dictionary of Economics	-0.46	-0.6551	1	3761	156
1164	Polar Record	0.4878	-0.0149	3	3756	2339
1165	Applicable Analysis	0.6716	-0.6009	5	3751	5610
1166	International Geology Review	0.6983	-0.0138	3	3747	7241
1167	Drug Development Research	-0.0754	0.5685	2	3744	7406
1168	Journal of Cognitive Neuroscience	-0.7324	-0.2926	1	3743	68037
1169	Journal of Environmental Science and Health Part A	0.6702	0.2703	3	3740	11554
1170	Memory & Cognition	-0.7424	-0.4224	1	3738	57423
1171	Polymer-Plastics Technology and Engineering	1.1985	0.124	4	3736	14167
1172	Human & Experimental Toxicology	-0.0736	0.497	2	3731	13577
1173	Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz	-0.408	0.3358	2	3731	6312
1174	Journal of Liquid Chromatography	0.8452	0.3656	4	3730	7990
1175	Journal of Product Innovation Management	-0.5143	-0.6965	1	3730	28742
1176	Cell Transplantation	-0.1738	0.6597	2	3729	19674
1177	Der Ophthalmologe	-0.4357	0.6354	2	3727	3687
1178	Journal of Basic Microbiology	0.5496	0.4893	3	3726	6571
1179	Foundations of Physics	1.2989	-0.601	7	3726	10111
1180	Endocrine	-0.3091	0.5075	2	3725	13900
1181	Plant Breeding	0.5794	0.4031	3	3725	13568
1182	International Journal of Environmental & Analytical Chemistry	0.8562	0.3305	4	3725	9038
1183	Cancer Causes & Control	-0.2753	0.457	2	3724	33531
1184	Abdominal Imaging	-0.382	0.5429	2	3724	9235
1185	Acta Pharmacologica et Toxicologica	-0.0838	0.5066	2	3722	12085
1186	Journal of Inclusion Phenomena and Macrocyclic Chemistry	1.2509	0.3023	4	3720	10801
1187	Faraday Discussions	1.4114	0.2249	4	3718	22162
1188	Nature Structural & Molecular Biology	0.22	0.8496	6	3717	81431
1189	Hypatia	-0.5984	-0.5312	1	3710	5731
1190	BMC Musculoskeletal Disorders	-0.4345	0.4856	2	3709	18562
1191	LaboratoriumsMedizin	-0.2977	0.6196	2	3707	253
1193	Journal of Adhesion Science and Technology	1.1801	0.101	4	3705	14045
1194	Powder Diffraction	1.3594	0.2727	4	3705	3692
1195	ZooKeys	0.5426	0.2916	3	3704	6440
1196	Biological Chemistry	0.1074	0.7979	6	3700	20016
1197	Molecular Psychiatry	-0.5199	0.1273	2	3695	57801
1198	Journal of Veterinary Diagnostic Investigation	0.208	0.5221	3	3692	17536
1199	EPPO Bulletin	0.5699	0.382	3	3685	5350
1200	Biology and Fertility of Soils	0.6052	0.3472	3	3683	27140
1201	Journal of Intelligent Material Systems and Structures	0.7795	-0.4337	5	3683	17349
1203	Journal of the Air & Waste Management Association	0.4841	0.1324	3	3672	15528
1204	Metallurgical and Materials Transactions B	1.2593	-0.0309	4	3668	15316
1206	The Canadian Entomologist	0.5539	0.3483	3	3664	9823
1207	Radiocarbon	0.5835	0.0133	3	3651	25578
1208	Meteoritics and Planetary Science	0.8962	-0.0763	7	3650	14487
1209	Parasites & Vectors	0.3445	0.4277	3	3645	18427
1210	Molecular Carcinogenesis	-0.1683	0.7314	2	3644	17435
1211	Journal of Social Policy	-0.5613	-0.5556	1	3643	8724
1212	Neurogastroenterology & Motility	-0.3669	0.6382	2	3641	22184
1213	Clinical and Experimental Ophthalmology	-0.4367	0.6355	2	3641	8552
1214	PeerJ	0.457	0.2802	3	3631	6814
1215	Environmental Geology	0.6656	-0.0247	3	3630	21225
1216	Biotropica	0.5638	0.2864	3	3625	27611
1217	Journal of Applied Entomology	0.5548	0.3522	3	3624	11424
1218	European Journal of Nuclear Medicine	-0.3612	0.5346	2	3621	6455
1219	Der Gynäkologe	-0.3644	0.5175	2	3618	577
1220	Journal of Interpersonal Violence	-0.6397	-0.3988	1	3617	37850
1221	Millennium - Journal of International Studies	-0.5333	-0.5911	1	3609	6530
1222	Robotica	0.646	-0.5116	5	3606	5351
1223	Spectroscopy Letters	1.1302	0.2838	4	3606	4778
1224	Educational and Psychological Measurement	-0.6849	-0.4996	1	3601	27821
1225	Ageing and Society	-0.611	-0.3281	1	3599	13490
1227	Software Practice and Experience	0.4615	-0.556	5	3598	3192
1228	Geographical Journal	-0.4911	-0.5722	1	3596	5878
1229	Journal of Assisted Reproduction and Genetics	-0.1931	0.5474	2	3595	10060
1230	ChemMedChem	0.529	0.6796	4	3594	14005
1232	Acta Pathologica Microbiologica Scandinavica	-0.2392	0.567	2	3593	7650
1233	Journal of Fish Diseases	0.4798	0.3521	3	3590	15833
1236	Geometriae Dedicata	0.6719	-0.6087	5	3587	5321
1237	Progress in Human Geography	-0.5054	-0.5747	1	3587	31408
1238	Journal of Personality Assessment	-0.6608	-0.3829	1	3587	36365
1239	Neural Computing and Applications	0.4789	-0.5272	5	3581	8356
1241	Catalysis Science & Technology	1.341	0.258	4	3578	21650
1242	Nature Reviews Cancer	-0.1825	0.7434	2	3576	146101
1243	Medical Oncology	-0.2813	0.6814	2	3574	12686
1244	Journal of Inequalities and Applications	0.666	-0.6005	5	3573	2862
1245	Arquivo Brasileiro de Medicina Veterinária e Zootecnia	0.304	0.4899	3	3569	6134
1246	Work Employment & Society	-0.5546	-0.6356	1	3568	16952
1247	Journal of Applied Statistics	0.1401	-0.5404	5	3568	9145
1248	Annals of Glaciology	0.6594	-0.0401	3	3567	13376
1249	European Journal of Plant Pathology	0.5712	0.3866	3	3561	19086
1250	Scottish Medical Journal	-0.3999	0.4583	2	3558	1725
1251	Der Anaesthesist	-0.4001	0.4343	2	3557	4785
1252	Soil Science & Plant Nutrition	0.6066	0.3493	3	3557	13291
1253	Liebigs Annalen der Chemie	1.2861	0.3262	4	3553	8280
1254	Materials and Structures	0.8711	-0.3002	5	3552	7451
1255	BMC Evolutionary Biology	0.5087	0.3361	3	3552	40498
1256	Brain Injury	-0.6774	-0.2066	1	3552	27498
1257	Palliative Medicine	-0.5969	-0.1913	1	3551	19882
1258	Biogeosciences	0.643	0.143	3	3550	27050
1259	Molecular BioSystems	0.3007	0.7242	6	3550	19343
1260	IIE Transactions	0.2227	-0.5852	5	3548	14737
1261	Journal of Cellular and Molecular Medicine	-0.1625	0.6937	2	3547	29323
1262	Philosophy and Phenomenological Research	-0.7718	-0.4845	1	3546	8769
1263	Hepatology Research	-0.3536	0.6493	2	3544	11870
1265	Education + Training	-0.5791	-0.6526	1	3541	6875
1266	Journal of the Society for Gynecologic Investigation	-0.2601	0.516	2	3533	4558
1268	School Science and Mathematics	-0.6985	-0.5384	1	3532	5007
1269	Energy & Environmental Science	1.5052	0.1567	4	3531	124656
1270	BMC Complementary and Alternative Medicine	-0.1106	0.5076	2	3531	12356
1271	International Archives of Occupational and Environmental Health	-0.1169	0.3176	2	3530	20631
1273	International Journal of Modern Physics C	0.7565	-0.5348	5	3528	9760
1275	Immunological Reviews	-0.1623	0.7831	2	3523	64519
1276	Aerosol Science and Technology	0.7137	0.0761	3	3518	22833
1277	Journal of Thermal Analysis	1.1979	0.1325	4	3516	4489
1278	Archives of Sexual Behavior	-0.6311	-0.3686	1	3513	30631
1279	PLoS Medicine	-0.4401	0.1008	2	3513	69189
1280	Acta Ophthalmologica Scandinavica	-0.4359	0.6357	2	3511	7573
1281	Der Unfallchirurg	-0.4275	0.5009	2	3506	6335
1282	Microbial Ecology	0.5608	0.3999	3	3506	31855
1284	Sociology of Health & Illness	-0.5912	-0.392	1	3501	24413
1285	Journal of Applied Phycology	0.6076	0.3069	3	3500	21357
1286	Cancer Investigation	-0.2613	0.6829	2	3499	12176
1287	Canadian Metallurgical Quarterly	1.2595	-0.0303	4	3499	4402
1288	Folia Microbiologica	0.5225	0.4888	3	3497	5878
1289	Mediators of Inflammation	-0.2178	0.6401	2	3492	13619
1290	EURASIP Journal on Advances in Signal Processing	0.4701	-0.5495	5	3491	4570
1291	ACM Transactions on Graphics	0.5071	-0.5427	5	3489	25012
1292	Petroleum Science and Technology	1.0446	0.1263	4	3488	3738
1293	manuscripta mathematica	0.6723	-0.6076	5	3485	5894
1294	Journal of Learning Disabilities	-0.7158	-0.477	1	3485	32490
1295	Der Orthopäde	-0.4278	0.5012	2	3483	4579
1296	Quaternary Research	0.6375	0.0011	3	3483	31239
1298	Theoretical and Applied Climatology	0.6682	-0.0662	3	3481	18443
1300	Australian and New Zealand Journal of Public Health	-0.5643	-0.1816	1	3477	15060
1301	Photochemical & Photobiological Sciences	0.7827	0.4642	4	3475	19219
1302	Journal of Plasma Physics	1.6098	-0.3803	7	3474	11274
1303	Hypertension Research	-0.3322	0.4783	2	3474	17385
1305	Plant Signaling & Behavior	0.6022	0.4328	3	3472	15458
1306	Acta Crystallographica Section B Structural Science	1.3617	0.2814	4	3469	32721
1307	Journal of Endovascular Therapy	-0.3733	0.5126	2	3468	8703
1308	World Journal of Urology	-0.3474	0.5482	2	3467	12403
1309	Journal of Synchrotron Radiation	1.3842	0.2359	4	3467	19565
1310	Tobacco Control	-0.567	-0.2199	1	3463	20574
1313	European Journal Of Oral Sciences	-0.5226	0.5538	8	3456	16914
1314	Pesticide Science	0.5817	0.3662	3	3455	10492
1315	Hydrological Sciences Journal	0.6336	-0.0451	3	3453	16458
1316	Journal of Anatomy	-0.0943	0.5124	2	3452	20572
1317	Nature Reviews Immunology	-0.163	0.7465	2	3452	112557
1318	The Diabetes Educator	-0.5875	-0.1945	1	3451	10958
1319	Asian Cardiovascular and Thoracic Annals	-0.3624	0.4937	2	3447	2298
1320	Journal of Alzheimer s Disease	-0.3984	0.3196	2	3441	13322
1321	Regional Studies	-0.4866	-0.6246	1	3440	34137
1322	Frontiers in Bioengineering and Biotechnology	0.3713	0.5735	6	3439	1011
1324	Nature Nanotechnology	1.4964	0.1314	4	3430	123766
1325	Quality and Reliability Engineering International	0.1444	-0.5456	5	3427	8338
1326	Revista Brasileira de Enfermagem	-0.5632	0.0327	2	3425	6381
1327	Letters in Mathematical Physics	0.686	-0.6104	5	3425	12769
1331	Low Temperature Physics	1.8965	-0.2369	7	3420	11079
1332	HNO	-0.4732	0.4827	2	3417	3734
1333	Annalen der Physik	1.6006	-0.4786	7	3416	8921
1334	Frontiers in Physiology	-0.1658	0.5368	2	3415	11602
1335	Equine Veterinary Education	0.2023	0.5226	3	3413	3345
1336	Biological Cybernetics	0.3797	-0.4619	5	3410	26334
1338	Hydrology and Earth System Sciences	0.6343	-0.0441	3	3396	25837
1339	Nordic Journal of Botany	0.5826	0.3343	3	3396	4171
1341	Austral Ecology	0.5699	0.276	3	3395	21511
1343	Substance Use & Misuse	-0.6311	-0.3332	1	3392	16423
1344	Computational Mechanics	0.7803	-0.4403	5	3392	15418
1345	International journal of peptide & protein research	0.5853	0.667	4	3392	11093
1346	Acta Mathematica Hungarica	0.6697	-0.6066	5	3387	3471
1347	Agents and Actions	-0.1185	0.5728	2	3386	6362
1349	Ethnic and Racial Studies	-0.5587	-0.5596	1	3379	20725
1350	Ecography	0.567	0.2609	3	3376	39284
1351	Expert Opinion on Therapeutic Patents	-0.0192	0.6971	2	3376	7828
1352	SIMULATION	0.4275	-0.5436	5	3374	4183
1354	In Vitro Cellular & Developmental Biology - Animal	-0.007	0.6382	2	3367	7737
1355	Population and Development Review	-0.539	-0.5173	1	3366	17904
1356	Journal of Chemical Crystallography	1.3518	0.2904	4	3363	4058
1357	International Journal of Robust and Nonlinear Control	0.6534	-0.5171	5	3356	10716
1358	Tellus B	0.689	-0.0331	3	3353	23652
1359	Materials Research Innovations	1.2611	0.0156	4	3352	3714
1360	Immunology and Cell Biology	-0.1449	0.7628	2	3349	18001
1361	Journal of Counseling & Development	-0.6567	-0.4017	1	3346	25699
1362	Journal of Periodontal Research	-0.5195	0.5605	8	3338	21688
1363	Nutrition and Cancer	-0.1014	0.5567	2	3334	22304
1364	Journal of Psychopharmacology	-0.5247	0.0919	2	3334	20161
1365	Journal of Biomedical Materials Research Part B Applied Biomaterials	0.1342	0.564	4	3334	18417
1366	Soft Computing	0.448	-0.549	5	3331	7876
1367	Molecular & Cellular Proteomics	0.1384	0.7591	6	3327	63717
1368	Water Resources Management	0.6146	-0.0564	3	3327	21897
1369	Childhood Education	-0.701	-0.5087	1	3325	2892
1370	American Behavioral Scientist	-0.5865	-0.5572	1	3319	26764
1373	The International Journal of Human Resource Management	-0.5578	-0.6584	1	3314	33321
1374	Psychology in the Schools	-0.7079	-0.4706	1	3313	14815
1375	Der Onkologe	-0.3624	0.5871	2	3311	663
1376	Experimental Agriculture	0.5844	0.3598	3	3310	3864
1377	Journal of the Chinese Institute of Engineers	0.7413	-0.4369	5	3309	2141
1379	Inventiones mathematicae	0.6726	-0.6086	5	3305	27783
1380	The Hastings Center Report	-0.5861	-0.2345	1	3305	6247
1382	Experimental Mechanics	0.8516	-0.3732	5	3304	11459
1383	Molecular Neurobiology	-0.1681	0.5895	2	3304	18195
1385	Review of Economics and Statistics	-0.4631	-0.6555	1	3301	50769
1386	Journal of Thermophysics and Heat Transfer	0.8353	-0.4486	5	3298	12933
1387	Studies in Conservation	1.0334	0.1467	4	3297	3955
1388	Nutrients	-0.2437	0.4272	2	3295	12905
1389	Journal of Midwifery & Women s Health	-0.5737	-0.155	1	3294	5688
1390	Numerische Mathematik	0.6708	-0.5836	5	3294	13720
1391	Organization Studies	-0.5485	-0.6651	1	3294	45328
1392	Transport in Porous Media	0.7885	-0.3674	5	3293	13957
1393	European Surgery	-0.3877	0.569	2	3290	872
1394	F1000Research	-0.1645	0.4792	2	3289	1320
1395	Acta Mathematica Sinica English Series	0.6697	-0.6052	5	3286	3873
1396	Heat and Mass Transfer	0.8223	-0.4274	5	3286	6571
1397	Pediatric Transplantation	-0.3473	0.5729	2	3281	10341
1398	Clinical Transplantation	-0.3481	0.5744	2	3281	11866
1399	Australian Occupational Therapy Journal	-0.6403	-0.2384	1	3276	6045
1400	British Journal of Educational Technology	-0.6908	-0.5424	1	3275	10012
1402	Western Journal of Nursing Research	-0.6099	-0.24	1	3273	10924
1403	Inflammation Research	-0.1892	0.6224	2	3273	12709
1404	Research Quarterly for Exercise and Sport	-0.676	-0.4232	1	3272	19623
1405	Molecular Nutrition & Food Research	0.0066	0.5484	2	3269	23967
1406	Ecology and Evolution	0.561	0.2733	3	3267	10187
1407	Teratology	-0.1999	0.5091	2	3259	12323
1408	BMC Microbiology	0.3227	0.5871	3	3259	24260
1410	Environmental and Molecular Mutagenesis	-0.0163	0.4996	2	3252	13269
1411	Sedimentology	0.6943	-0.0127	3	3252	18569
1412	Cold Spring Harbor Symposia on Quantitative Biology	0.0961	0.7557	6	3252	21179
1413	Australasian Journal of Dermatology	-0.2801	0.6007	2	3250	5911
1414	International Journal for Numerical and Analytical Methods in Geomechanics	0.7875	-0.3771	5	3248	9389
1415	Archives of Phytopathology and Plant Protection	0.5699	0.3853	3	3247	2458
1417	Journal of Research in Science Teaching	-0.6992	-0.5395	1	3246	35724
1418	Journal of Environmental Monitoring	0.6304	0.2539	3	3244	14956
1419	Journal of the Textile Institute	1.1582	0.1143	4	3244	9338
1422	Journal of Applied Mathematics	0.6598	-0.5897	5	3239	3114
1423	Tellus A Dynamic Meteorology and Oceanography	0.6769	-0.0699	3	3238	14526
1424	Journal of Food Processing and Preservation	0.5382	0.4685	3	3236	5591
1426	Surface Review and Letters	1.3887	0.0327	4	3234	4615
1427	Community Dentistry And Oral Epidemiology	-0.5262	0.5514	8	3233	29035
1428	Strategic Management Journal	-0.521	-0.6959	1	3233	158518
1429	CNS Spectrums	-0.6021	-0.075	1	3224	8313
1430	Genetic Epidemiology	-0.2161	0.4262	2	3224	17598
1431	Tectonics	0.698	-0.015	3	3224	31539
1432	Journal of Vertebrate Paleontology	0.6858	0.0177	3	3222	24983
1433	Drug Safety	-0.3357	0.4144	2	3218	21203
1434	NMR in Biomedicine	-0.3776	0.5282	2	3217	24972
1435	Phase Transitions	1.4731	0.0316	4	3214	9802
1436	Australasian Radiology	-0.3883	0.5259	2	3213	2902
1437	Nature Photonics	1.5445	-0.0109	4	3209	73417
1438	Current Topics in Microbiology and Immunology	0.022	0.7256	6	3207	9041
1439	Free Radical Research	-0.0354	0.5674	2	3207	23620
1440	Genetica	0.5161	0.3758	3	3207	17179
1441	Child Care Health and Development	-0.6344	-0.2505	1	3207	11380
1443	The Breast Journal	-0.3555	0.6022	2	3199	7436
1444	The Holocene	0.626	0.0074	3	3199	25103
1445	Contributions to Plasma Physics	1.6064	-0.3398	7	3199	5885
1446	Laboratory Investigation	-0.2211	0.6896	2	3197	29055
1448	Digestive Endoscopy	-0.367	0.6329	2	3197	4525
1449	Journal of Neurobiology	-0.0593	0.5978	6	3196	22698
1451	The Clearing House A Journal of Educational Strategies Issues and Ideas	-0.6912	-0.5284	1	3192	2948
1452	Social Psychiatry and Psychiatric Epidemiology	-0.6408	-0.2813	1	3191	33578
1453	Pure and Applied Geophysics	0.7154	-0.1085	3	3190	10510
1454	Propellants Explosives Pyrotechnics	1.2159	0.095	4	3190	7437
1455	Virology Journal	0.1544	0.5952	3	3189	16495
1456	British Journal of Sociology	-0.5708	-0.5538	1	3188	17315
1458	AIDS and Behavior	-0.5897	-0.2584	1	3178	28820
1459	Theoretical Chemistry Accounts	1.4429	0.2877	4	3177	27296
1460	The Journal of Dermatologic Surgery and Oncology	-0.2814	0.6001	2	3177	9789
1461	The Journal of Social Psychology	-0.6454	-0.4654	1	3175	20370
1463	Journal of Comparative Physiology B	0.4721	0.3314	3	3162	15868
1464	Scandinavian Journal of Haematology	-0.298	0.6059	2	3160	7418
1466	Psychonomic Bulletin & Review	-0.7451	-0.4172	1	3154	43511
1467	Ergodic Theory and Dynamical Systems	0.6718	-0.6085	5	3154	8329
1469	Nature Reviews Microbiology	0.3676	0.6357	6	3152	67280
1471	Topics in Catalysis	1.2897	0.2341	4	3148	17364
1472	Drug Information Journal	-0.0973	-0.2148	5	3147	3866
1473	Journal of Industrial Microbiology & Biotechnology	0.5747	0.4971	3	3142	20717
1474	Bulletin of Entomological Research	0.5531	0.3516	3	3141	12745
1475	Meccanica	0.7839	-0.4406	5	3140	7101
1476	Clinical and Experimental Optometry	-0.4373	0.635	2	3140	3322
1477	Japanese Journal of Cancer Research	-0.237	0.6808	2	3135	19586
1478	Journal of Histotechnology	-0.1175	0.6133	2	3132	2341
1479	Nutrition in Clinical Practice	-0.3752	0.4453	2	3132	7962
1480	Foreign Language Annals	-0.7226	-0.5204	1	3132	4708
1481	Journal of Viral Hepatitis	-0.3522	0.6542	2	3128	17181
1482	Human Psychopharmacology Clinical and Experimental	-0.525	0.0856	2	3126	9823
1483	Journal of Traumatic Stress	-0.6527	-0.356	1	3124	31020
1486	Acta Physiologiae Plantarum	0.5936	0.4058	3	3119	10797
1487	eLS	0.099	0.6937	6	3117	553
1488	Proceedings of the Royal Society of Edinburgh Section A Mathematics	0.6724	-0.6043	5	3115	8310
1489	Biochemistry (Moscow)	0.276	0.6012	3	3114	6787
1492	Journal for the Scientific Study of Religion	-0.6263	-0.4344	1	3109	17780
1493	Arabian Journal of Geosciences	0.6788	-0.0428	3	3108	5039
1494	International Journal of Modern Physics E	1.8869	-0.5693	7	3103	8163
1495	Language in Society	-0.7173	-0.518	1	3099	7472
1496	Avian Pathology	0.2216	0.5215	3	3098	14313
1497	PharmacoEconomics	-0.4824	0.0693	2	3097	19437
1499	Journal of Clinical Pharmacy and Therapeutics	-0.3397	0.4096	2	3096	9831
1501	X-Ray Spectrometry	0.9122	0.2745	4	3093	5710
1502	Medicinal Chemistry Research	0.7214	0.5335	4	3089	6787
1503	Journal of Eukaryotic Microbiology	0.3866	0.4241	3	3088	10423
1504	Teaching Sociology	-0.6506	-0.5316	1	3088	6785
1505	Phi Delta Kappan	-0.6911	-0.529	1	3088	4783
1506	Earth Planets and Space	0.7359	-0.112	3	3087	15006
1507	Genetics in Medicine	-0.3464	0.4497	2	3085	25385
1508	Rivista di Neuroradiologia	-0.4068	0.4969	2	3084	823
1511	International Migration Review	-0.5526	-0.5602	1	3083	19991
1512	Third World Quarterly	-0.5265	-0.587	1	3068	14114
1513	Nucleosides Nucleotides & Nucleic Acids	1.2675	0.3395	4	3066	5674
1514	International Journal of Environmental Studies	0.4967	0.1201	3	3065	2882
1516	Hippocampus	-0.3882	0.2072	2	3060	30020
1517	Journal of Translational Medicine	-0.2173	0.6973	2	3058	18415
1518	Journal of Clinical Hypertension	-0.3344	0.4762	2	3056	8628
1519	Biological Invasions	0.5663	0.2735	3	3055	28317
1520	Neural Computation	0.3894	-0.4703	5	3051	36875
1522	International Journal of Distributed Sensor Networks	0.4654	-0.5541	5	3048	3213
1523	Journal of Human Hypertension	-0.3339	0.4759	2	3046	14883
1524	Biotechnology Journal	0.5379	0.5568	3	3042	11686
1525	International Ophthalmology	-0.4363	0.636	2	3039	4680
1526	Scandinavian Journal of Medicine and Science in Sports	-0.4636	0.2335	2	3037	20249
1527	Acta Crystallographica Section F Structural Biology and Crystallization Communications	0.6939	0.7772	6	3037	5539
1528	Zeitschrift für angewandte Mathematik und Physik	0.6943	-0.5776	5	3037	7025
1530	Molecular Simulation	1.3649	0.222	4	3036	10858
1531	Journal of Clinical and Experimental Neuropsychology	-0.68	-0.2061	1	3034	29549
1532	Concurrency and Computation Practice and Experience	0.463	-0.5546	5	3031	4561
1533	Journal of Veterinary Pharmacology and Therapeutics	0.2038	0.5219	3	3031	8603
1534	Journal of Fluorescence	1.1065	0.3282	4	3030	10328
1535	Nature Chemical Biology	0.3825	0.7558	6	3029	50544
1537	Ionics	1.3417	0.1078	4	3024	7144
1538	Health Economics	-0.5279	-0.2053	1	3023	22742
1539	Journal of the American Society for Information Science	-0.5419	-0.7147	1	3022	11914
1540	Journal of Wuhan University of Technology-Mater Sci Ed	1.2331	0.0083	4	3019	2156
1541	Chromosoma	0.3322	0.61	6	3019	16913
1542	Clinical Rehabilitation	-0.5756	-0.0085	2	3019	24479
1543	Medical Decision Making	-0.5146	-0.1104	1	3016	22038
1546	Revista da Associação Médica Brasileira	-0.4856	0.212	2	3014	4042
1547	Family Relations	-0.6481	-0.4069	1	3013	22972
1549	Journal of Biomolecular NMR	0.5817	0.7505	6	3011	27549
1551	Journal of Ornithology	0.5314	0.2511	3	3008	9384
1553	Journal of Hydraulic Research	0.7014	-0.1204	3	2999	10645
1554	Structural Chemistry	1.3192	0.298	4	2999	8079
1555	Biotechnology & Biotechnological Equipment	0.5101	0.4693	3	2997	2346
1556	Philosophical Magazine Letters	1.4068	-0.023	4	2995	14113
1557	Plant Growth Regulation	0.5936	0.4034	3	2994	15136
1558	Journal of Communication	-0.5943	-0.5704	1	2990	35162
1559	Rheologica Acta	1.1915	0.1152	4	2983	13550
1561	Human Relations	-0.5629	-0.6513	1	2978	48970
1562	BMC Psychiatry	-0.642	-0.2698	1	2978	17191
1565	Macromolecular Bioscience	1.0306	0.282	4	2971	19131
1566	Neuropathology and Applied Neurobiology	-0.2509	0.5754	2	2971	14026
1567	The International Journal of Psychoanalysis	-0.6754	-0.3669	1	2971	7200
1568	Lasers in Medical Science	-0.2771	0.597	2	2970	10617
1569	The European Physical Journal Special Topics	1.0868	-0.4307	5	2969	9476
1570	Journal of Business and Economic Statistics	-0.3999	-0.6656	1	2966	15357
1571	Revista Brasileira de Ciência do Solo	0.5788	0.3708	3	2966	19059
1572	Surface Engineering	1.2584	-0.0246	4	2964	6578
1573	Diabetes Obesity and Metabolism	-0.3156	0.4704	2	2962	25559
1575	Linear and Multilinear Algebra	0.6697	-0.6061	5	2958	4195
1576	Neurophysiology	-0.2423	0.359	2	2958	636
1577	Energy Sources Part A Recovery Utilization and Environmental Effects	1.0428	0.1262	4	2955	3438
1578	Revista do Instituto de Medicina Tropical de São Paulo	0.052	0.4739	3	2954	9746
1579	Scandinavian Journal of Urology and Nephrology	-0.3461	0.5465	2	2953	8182
1580	Journal of Molecular Neuroscience	-0.1791	0.577	2	2950	14873
1581	Hematology	-0.2992	0.6481	2	2949	9962
1582	Organic Mass Spectrometry	1.2681	0.3258	4	2948	4894
1583	Journal of Clinical Immunology	-0.2587	0.6574	2	2948	18434
1584	Genetics Selection Evolution	0.3099	0.4937	3	2946	8692
1585	Synthesis and Reactivity in Inorganic and Metal-Organic Chemistry	1.3017	0.3058	4	2945	6671
1586	Revista da Escola de Enfermagem da USP	-0.5631	0.0326	2	2945	6625
1588	Journal of Telemedicine and Telecare	-0.5432	-0.0899	1	2943	11003
1589	Geophysical Prospecting	0.7165	-0.1057	3	2937	5972
1590	Management Decision	-0.52	-0.6934	1	2936	20362
1591	The Journal of Law Medicine &amp Ethics	-0.5856	-0.2344	1	2936	5616
1592	Optimization	0.6345	-0.588	5	2935	5809
1593	Plant Ecology	0.5874	0.2899	3	2931	23806
1594	Pharmacology & Toxicology	-0.0835	0.5068	2	2931	7516
1595	Journal of the American College of Nutrition	-0.2565	0.3942	2	2929	25179
1596	Drug and Alcohol Review	-0.6288	-0.3224	1	2927	12136
1597	Pediatric Allergy and Immunology	-0.2673	0.5331	2	2926	16439
1598	Journal of Glaciology	0.6597	-0.0402	3	2926	17550
1601	Developmental Psychobiology	-0.6913	-0.267	1	2924	17154
1602	Cell Death and Disease	-0.1165	0.7859	6	2922	19826
1603	Nursing Ethics	-0.6074	-0.2361	1	2920	9733
1604	Revista Latino-Americana de Enfermagem	-0.5634	0.0326	2	2920	10546
1605	Geographical Review	-0.4963	-0.5712	1	2917	4732
1606	Chemistry & Biodiversity	0.57	0.4721	3	2912	11235
1607	Bioelectromagnetics	-0.0385	0.4782	2	2910	14235
1608	Wiener klinische Wochenschrift	-0.3693	0.4859	2	2909	4136
1609	Advanced Energy Materials	1.5332	0.1478	4	2905	42417
1610	Veterinary Research Communications	0.2092	0.5213	3	2900	6524
1611	Tribology Transactions	1.0077	-0.2394	5	2894	11159
1612	Journal of Peace Research	-0.5307	-0.5958	1	2893	17906
1613	World Economy	-0.4651	-0.6551	1	2892	8559
1614	Biology Letters	0.5148	0.26	3	2889	31038
1615	Journal of Applied Bacteriology	0.5243	0.4804	3	2889	20067
1617	Journal of the American Society for Information Science and Technology	-0.5413	-0.714	1	2886	21825
